resultId,raceId,driverId,constructorId,number,grid,finishPosition,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,forename,surname,driverName,gridPosition,Grand Prix,year
22199,903,817,9,3,2,4,4,4,12.0,54,27.136,5635474,39,3,101.473,193.387,1,Daniel,Ricciardo,Daniel Ricciardo,2.0,Chinese Grand Prix,2014
22200,903,20,9,1,3,5,5,5,10.0,54,47.778,5656116,37,5,102.169,192.07,1,Sebastian,Vettel,Sebastian Vettel,3.0,Chinese Grand Prix,2014
22201,903,807,10,27,8,6,6,6,8.0,54,54.295,5662633,33,10,102.624,191.218,1,Nico,Hülkenberg,Nico Hülkenberg,8.0,Chinese Grand Prix,2014
22202,903,822,3,77,7,7,7,7,6.0,54,55.697,5664035,52,11,102.66,191.151,1,Valtteri,Bottas,Valtteri Bottas,7.0,Chinese Grand Prix,2014
22203,903,8,6,7,11,8,8,8,4.0,54,+1:16.335,5684673,34,8,102.3,191.824,1,Kimi,Räikkönen,Kimi Räikkönen,11.0,Chinese Grand Prix,2014
22204,903,815,10,11,16,9,9,9,2.0,54,+1:22.647,5690985,32,6,102.228,191.959,1,Sergio,Pérez,Sergio Pérez,16.0,Chinese Grand Prix,2014
22205,903,826,5,26,13,10,10,10,1.0,53,\N,\N,33,17,103.337,189.899,11,Daniil,Kvyat,Daniil Kvyat,13.0,Chinese Grand Prix,2014
22206,903,18,1,22,12,11,11,11,0.0,53,\N,\N,30,18,103.375,189.829,11,Jenson,Button,Jenson Button,12.0,Chinese Grand Prix,2014
22207,903,818,5,25,9,12,12,12,0.0,53,\N,\N,34,14,102.896,190.712,11,Jean-Éric,Vergne,Jean-Éric Vergne,9.0,Chinese Grand Prix,2014
22208,903,825,1,20,15,13,13,13,0.0,53,\N,\N,33,12,102.701,191.075,11,Kevin,Magnussen,Kevin Magnussen,15.0,Chinese Grand Prix,2014
