resultId,raceId,driverId,constructorId,number,grid,finishPosition,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,forename,surname,driverName,gridPosition,Grand Prix,year,totalPitTime_ms,totalPitTime_s,positionsChange,pitEffect
22140,900,16,15,99,13,11.0,11,11,0.0,56,\N,\N,34,9,93.366,204.472,11,Adrian,Sutil,Adrian Sutil,14.0,Australian Grand Prix,2014,24305.0,24.305,3.0,0.12343139271754783
22141,900,821,15,21,20,12.0,12,12,0.0,56,\N,\N,41,13,94.564,201.882,11,Esteban,Gutiérrez,Esteban Gutiérrez,19.0,Australian Grand Prix,2014,56454.0,56.454,7.0,0.12399475679314131
22142,900,820,206,4,17,13.0,13,13,0.0,55,\N,\N,33,12,94.202,202.658,12,Max,Chilton,Max Chilton,17.0,Australian Grand Prix,2014,47702.0,47.702,4.0,0.0838539264601065
22143,900,824,206,17,18,,N,14,0.0,49,\N,\N,55,16,95.635,199.621,18,Jules,Bianchi,Jules Bianchi,18.0,Australian Grand Prix,2014,46477.0,46.477,,
22144,900,154,208,8,22,,R,15,0.0,43,\N,\N,41,15,95.281,200.363,132,Romain,Grosjean,Romain Grosjean,21.0,Australian Grand Prix,2014,39519.0,39.519,,
22145,900,813,208,13,21,,R,16,0.0,29,\N,\N,30,14,94.766,201.451,132,Pastor,Maldonado,Pastor Maldonado,22.0,Australian Grand Prix,2014,22847.0,22.847,,
22146,900,828,207,9,19,,R,17,0.0,27,\N,\N,17,18,97.332,196.141,51,Marcus,Ericsson,Marcus Ericsson,20.0,Australian Grand Prix,2014,23238.0,23.238,,
22147,900,20,9,1,12,,R,18,0.0,3,\N,\N,26,17,97.064,196.682,5,Sebastian,Vettel,Sebastian Vettel,13.0,Australian Grand Prix,2014,,,,
22148,900,1,131,44,1,,R,19,0.0,2,\N,\N,2,20,109.947,173.636,5,Lewis,Hamilton,Lewis Hamilton,1.0,Australian Grand Prix,2014,,,,
22149,900,13,3,19,9,,R,20,0.0,0,\N,\N,2,19,100.287,190.361,4,Felipe,Massa,Felipe Massa,9.0,Australian Grand Prix,2014,,,,
22150,900,155,207,10,14,,R,21,0.0,0,\N,\N,\N,0,\N,\N,4,Kamui,Kobayashi,Kamui Kobayashi,15.0,Australian Grand Prix,2014,,,,
22151,900,817,9,3,2,,D,22,0.0,57,24.525,5603235,\N,0,\N,\N,2,Daniel,Ricciardo,Daniel Ricciardo,2.0,Australian Grand Prix,2014,45421.0,45.421,,
22152,901,1,131,44,1,1.0,1,1,25.0,56,40:26.0,6025974,53,1,103.066,193.611,1,Lewis,Hamilton,Lewis Hamilton,1.0,Malaysian Grand Prix,2014,74384.0,74.384,0.0,0.0
22153,901,3,131,6,3,2.0,2,2,18.0,56,17.313,6043287,55,2,103.96,191.946,1,Nico,Rosberg,Nico Rosberg,3.0,Malaysian Grand Prix,2014,74664.0,74.664,1.0,0.01339333547626701
22154,901,20,9,1,2,3.0,3,3,15.0,56,24.534,6050508,51,4,104.289,191.341,1,Sebastian,Vettel,Sebastian Vettel,2.0,Malaysian Grand Prix,2014,74346.0,74.346,-1.0,-0.013450622763833965
22155,901,4,6,14,4,4.0,4,4,12.0,56,35.992,6061966,47,3,104.165,191.569,1,Fernando,Alonso,Fernando Alonso,4.0,Malaysian Grand Prix,2014,73329.0,73.329,0.0,0.0
22156,901,807,10,27,7,5.0,5,5,10.0,56,47.199,6073173,38,10,105.982,188.284,1,Nico,Hülkenberg,Nico Hülkenberg,7.0,Malaysian Grand Prix,2014,50223.0,50.223,2.0,0.03982239213109531
22157,901,18,1,22,10,6.0,6,6,8.0,56,+1:23.691,6109665,47,11,106.039,188.183,1,Jenson,Button,Jenson Button,10.0,Malaysian Grand Prix,2014,74393.0,74.393,4.0,0.05376849972443644
22158,901,13,3,19,13,7.0,7,7,6.0,56,+1:25.076,6111050,44,6,104.897,190.232,1,Felipe,Massa,Felipe Massa,13.0,Malaysian Grand Prix,2014,73740.0,73.74,6.0,0.08136696501220506
22159,901,822,3,77,18,8.0,8,8,4.0,56,+1:25.537,6111511,31,9,105.475,189.189,1,Valtteri,Bottas,Valtteri Bottas,15.0,Malaysian Grand Prix,2014,74482.0,74.482,7.0,0.0939824387100239
22160,901,825,1,20,8,9.0,9,9,2.0,55,\N,\N,44,8,105.373,189.372,11,Kevin,Magnussen,Kevin Magnussen,8.0,Malaysian Grand Prix,2014,92192.0,92.192,-1.0,-0.010846928149947935
22161,901,826,5,26,11,10.0,10,10,1.0,55,\N,\N,36,13,106.695,187.026,11,Daniil,Kvyat,Daniil Kvyat,11.0,Malaysian Grand Prix,2014,77871.0,77.871,1.0,0.012841751101180158
22162,901,154,208,8,15,11.0,11,11,0.0,55,\N,\N,42,12,106.224,187.855,11,Romain,Grosjean,Romain Grosjean,16.0,Malaysian Grand Prix,2014,76377.0,76.377,5.0,0.06546473414771463
22163,901,8,6,7,6,12.0,12,12,0.0,55,\N,\N,36,7,105.129,189.812,11,Kimi,Räikkönen,Kimi Räikkönen,6.0,Malaysian Grand Prix,2014,75062.0,75.062,-6.0,-0.07993392129173217
22164,901,155,207,10,20,13.0,13,13,0.0,55,\N,\N,53,15,107.753,185.19,11,Kamui,Kobayashi,Kamui Kobayashi,20.0,Malaysian Grand Prix,2014,53629.0,53.629,7.0,0.13052639430159058
22165,901,828,207,9,22,14.0,14,14,0.0,54,\N,\N,40,14,107.5,185.626,12,Marcus,Ericsson,Marcus Ericsson,22.0,Malaysian Grand Prix,2014,82585.0,82.585,8.0,0.09686989162680874
22166,901,820,206,4,21,15.0,15,15,0.0,54,\N,\N,49,18,108.249,184.341,12,Max,Chilton,Max Chilton,21.0,Malaysian Grand Prix,2014,82677.0,82.677,6.0,0.072571573714576
22167,901,817,9,3,5,,R,16,0.0,49,\N,\N,48,5,104.675,190.635,39,Daniel,Ricciardo,Daniel Ricciardo,5.0,Malaysian Grand Prix,2014,227990.0,227.99,,
22168,901,821,15,21,12,,R,17,0.0,35,\N,\N,27,16,107.782,185.14,6,Esteban,Gutiérrez,Esteban Gutiérrez,12.0,Malaysian Grand Prix,2014,55745.0,55.745,,
22169,901,16,15,99,17,,R,18,0.0,32,\N,\N,27,17,108.04,184.698,10,Adrian,Sutil,Adrian Sutil,18.0,Malaysian Grand Prix,2014,51491.0,51.491,,
22170,901,818,5,25,9,,R,19,0.0,18,\N,\N,4,19,108.527,183.869,131,Jean-Éric,Vergne,Jean-Éric Vergne,9.0,Malaysian Grand Prix,2014,72227.0,72.227,,
22171,901,824,206,17,19,,R,20,0.0,8,\N,\N,4,21,111.473,179.01,23,Jules,Bianchi,Jules Bianchi,19.0,Malaysian Grand Prix,2014,52836.0,52.836,,
22172,901,813,208,13,16,,R,21,0.0,7,\N,\N,6,20,110.929,179.888,5,Pastor,Maldonado,Pastor Maldonado,17.0,Malaysian Grand Prix,2014,,,,
22173,901,815,10,11,14,,W,22,0.0,0,\N,\N,\N,0,\N,\N,54,Sergio,Pérez,Sergio Pérez,14.0,Malaysian Grand Prix,2014,,,,
22174,902,1,131,44,2,1.0,1,1,25.0,57,39:42.7,5982743,49,2,97.108,200.634,1,Lewis,Hamilton,Lewis Hamilton,2.0,Bahrain Grand Prix,2014,49833.0,49.833,1.0,0.02006702385969137
22175,902,3,131,6,1,2.0,2,2,18.0,57,1.085,5983828,49,1,97.02,200.816,1,Nico,Rosberg,Nico Rosberg,1.0,Bahrain Grand Prix,2014,49758.0,49.758,-1.0,-0.02009727079062663
22176,902,815,10,11,4,3.0,3,3,15.0,57,24.067,6006810,36,7,99.32,196.165,1,Sergio,Pérez,Sergio Pérez,5.0,Bahrain Grand Prix,2014,49434.0,49.434,2.0,0.04045798438321803
22177,902,817,9,3,13,4.0,4,4,12.0,57,24.489,6007232,38,4,99.269,196.266,1,Daniel,Ricciardo,Daniel Ricciardo,3.0,Bahrain Grand Prix,2014,49522.0,49.522,-1.0,-0.020193045515124592
22178,902,807,10,27,11,5.0,5,5,10.0,57,28.654,6011397,37,3,98.785,197.228,1,Nico,Hülkenberg,Nico Hülkenberg,12.0,Bahrain Grand Prix,2014,49197.0,49.197,7.0,0.14228509868487915
22179,902,20,9,1,10,6.0,6,6,8.0,57,29.879,6012622,18,6,99.312,196.181,1,Sebastian,Vettel,Sebastian Vettel,11.0,Bahrain Grand Prix,2014,51150.0,51.15,5.0,0.09775171065493646
22180,902,13,3,19,7,7.0,7,7,6.0,57,31.265,6014008,40,5,99.272,196.26,1,Felipe,Massa,Felipe Massa,8.0,Bahrain Grand Prix,2014,74999.0,74.999,1.0,0.013333511113481513
22181,902,822,3,77,3,8.0,8,8,4.0,57,31.876,6014619,50,13,99.762,195.296,1,Valtteri,Bottas,Valtteri Bottas,4.0,Bahrain Grand Prix,2014,76088.0,76.088,-4.0,-0.052570707601724324
22182,902,4,6,14,9,9.0,9,9,2.0,57,32.595,6015338,53,12,99.732,195.355,1,Fernando,Alonso,Fernando Alonso,10.0,Bahrain Grand Prix,2014,74839.0,74.839,1.0,0.013362017130105961
22183,902,8,6,7,5,10.0,10,10,1.0,57,33.462,6016205,35,8,99.438,195.933,1,Kimi,Räikkönen,Kimi Räikkönen,6.0,Bahrain Grand Prix,2014,74877.0,74.877,-4.0,-0.053420943680970126
22184,902,826,5,26,12,11.0,11,11,0.0,57,41.342,6024085,12,15,100.16,194.52,1,Daniil,Kvyat,Daniil Kvyat,13.0,Bahrain Grand Prix,2014,76749.0,76.749,2.0,0.026058971452396777
22185,902,154,208,8,16,12.0,12,12,0.0,57,43.143,6025886,39,9,99.443,195.923,1,Romain,Grosjean,Romain Grosjean,16.0,Bahrain Grand Prix,2014,75917.0,75.917,4.0,0.05268912101373869
22186,902,820,206,4,21,13.0,13,13,0.0,57,59.909,6042652,48,21,101.825,191.34,1,Max,Chilton,Max Chilton,22.0,Bahrain Grand Prix,2014,79072.0,79.072,9.0,0.11382031566167543
22187,902,813,208,13,17,14.0,14,14,0.0,57,+1:02.803,6045546,52,11,99.666,195.484,1,Pastor,Maldonado,Pastor Maldonado,17.0,Bahrain Grand Prix,2014,118958.0,118.958,3.0,0.025218984851796432
22188,902,155,207,10,18,15.0,15,15,0.0,57,+1:27.900,6070643,17,18,101.246,192.434,1,Kamui,Kobayashi,Kamui Kobayashi,19.0,Bahrain Grand Prix,2014,53752.0,53.752,4.0,0.0744158356898348
22189,902,824,206,17,19,16.0,16,16,0.0,56,\N,\N,44,22,102.175,190.684,11,Jules,Bianchi,Jules Bianchi,20.0,Bahrain Grand Prix,2014,125723.0,125.723,4.0,0.03181597639254552
22190,902,18,1,22,6,17.0,17,17,0.0,55,\N,\N,37,10,99.565,195.683,8,Jenson,Button,Jenson Button,7.0,Bahrain Grand Prix,2014,49721.0,49.721,-10.0,-0.2011222622232055
22191,902,825,1,20,8,,R,18,0.0,40,\N,\N,40,14,100.108,194.621,8,Kevin,Magnussen,Kevin Magnussen,9.0,Bahrain Grand Prix,2014,74742.0,74.742,,
22192,902,821,15,21,15,,R,19,0.0,39,\N,\N,32,16,100.698,193.481,4,Esteban,Gutiérrez,Esteban Gutiérrez,15.0,Bahrain Grand Prix,2014,51176.0,51.176,,
